propertyid,location,type,address,bedroom,bathroom,area ( Sq. Yd.),purpose,price,description,mobile,image-src
44027664,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",Lower Portion,"Jamshed Town, Karachi, Sindh",4,4,250,For Rent,175000,"Pechs Block 2, Ground floor 4 bed attach bath drawing room lounch kitchen parking seprate gate brand new
All your dreams can come true with this Lower Portion, which is well-constructed and centrally-located. This spacious rental property can be the answer to all your space woes. Purchasing this 2250 Square Feet Lower Portion is a decision you will not regret. What could possibly get more better than a property priced at Rs. 175,000. Plus, it has features that you'd definitely love! You are only one step away from booking your unit in PECHS Block 2 which is among the top locations. A thriving lifestyle awaits you in Karachi's upcoming neighbourhoods. 

What more we can say about it is given below. 
This property comes with a separate dining room making it convenient to host dinner parties. 
Have a fun family movie night with ease in the cosy lounge area of this property. 
This property offers wide range of option where the living comes attached with a spacious drawing room. 
To find out more about this offer, give us a call right away. 
Enjoy the convenience and comfort of broadband internet access. 


We have the answers to your questions - so call us today!",3002320802,https://media.zameen.com/thumbnails/207087372-800x600.jpeg
44047774,"Clifton - Block 4, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",2,2,129,For Rent,150000,"Clifton Executive Class Fully Furnished / Renovated Apartment Available For Rent For Long & Short Terms. 


Well Furnished And Totally Renovated Two Bedroom With Attach Bathrooms Lounge , Drawing room  Branded Kitchen  Two Huge  Balconies Boundry wall Project Namely  Chapal Beach Luxury  Apartment Clifton Block 4 with 1160 square feets 
Located On 3rd Floor . . . 

         . . . . . . . .  *Ready to move *. . . . . . . . . 

Rent For Long Term per month = View Contact Detail

( Original Pics Attached )

Further Details And Visit Contact Us . 

CAPITAL ENTERPRISES",3338212253,https://media.zameen.com/thumbnails/206257235-800x600.jpeg
44064936,"Clifton - Block 8, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",3,3,200,For Rent,140000,"THE RESIDENCE
3 BED DD
UPPER FLOOR 
WEST EAST BOTH",3362825576,https://media.zameen.com/thumbnails/205684841-800x600.jpeg
44100519,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,"DHA Defence, Karachi, Sindh",6,6,1000,For Rent,700000,"1000 YARDS HOUSE FOR RENT LIKE BRAND NEW WITH SWIMMING POOL AND BASEMENT THIS HOUSE CONSISTS OF 6 BEDROOMS 2BEDS ARE ON GROUND PORTION AND 4 BEDS IN UPPER FLOOR SEPARATE DRAWING ROOM AND DINING ROOM ,AMERICAN KITCHEN,2 SERVANT ROOM,4 TO 5 CARS EASILY PARK INSIDE THE DOOR.",3218273280,https://media.zameen.com/thumbnails/206663190-800x600.jpeg
44110886,"DHA Phase 4, DHA Defence, Karachi, Sindh",House,"DHA Defence, Karachi, Sindh",4,5,300,For Rent,200000,"300yrds banglow for rent in DHA phase 4 
1+3 bedrooms with attached bathrooms built in cupboards, drawing, dining, lounge, kitchen, store room, servant room, Ample car parking, tile flooring, fully renovated, 24/7 security near to park, most rime & posh location, 
for more details contact 
Property Zone
our firm will charge 1 month Commission !",3342236447,https://media.zameen.com/thumbnails/206489360-800x600.jpeg
44111236,"Clifton - Block 4, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",2,2,128,For Rent,100000,"Clifton Fully Furnished  Apartment Available For Rent . 

Two Bedrooms With Attach Bathrooms Lounge , Drawing room Branded Kitchen Balcony Tiles Flooring Lift , Car Parking . 

( Original Pucs Attached )

Further Details And Visit Contact Us . 

CAPITAL ENTERPRISES 

We Want Only Serious Buyers To Contact Us.",3338212253,https://media.zameen.com/thumbnails/206257188-800x600.jpeg
44120614,"Saima Jinnah Avenue, Malir, Karachi, Sindh",Flat,"Malir, Karachi, Sindh",3,4,244,For Rent,76000,"3 Bed Drawing Lounge
3 Attach Washroom
1 Common Washroom
1 Servant Quarter

All Modern Amenities
For Visit & Details DM",3122990521,https://media.zameen.com/thumbnails/199631447-800x600.jpeg
44136714,"Defence View Society, Karachi, Sindh",Flat,"Defence View Society, Karachi, Sindh",3,4,189,For Rent,75000,"*Apartment For Rent Luxurious Brand New  Defense View Ph 1* 
*Defence Regency*
3 Bed D L
Ready to Move
1500 Sqft Net
Reserved Parking
Lifts
Standby Generator
Back Up Generator *Point Provided in flat*
Board Rooms
Community Hall,
Meeting Rooms Masjid
*Children Play Area*
*Walking Track*
256 CCTV Cameras Installed
*Security Guards*
*Salma Shopping Mall*
*Before Imtiaz Store*
*Demand 75 K*",3453181939,https://media.zameen.com/thumbnails/205597360-800x600.jpeg
44138468,"Bath Island, Karachi, Sindh",Flat,"Bath Island, Karachi, Sindh",4,4,278,For Rent,195000,"4 bed D/D Brandnew Apartment For Rent in Bath Island 
West Open Corner 
Car Parking 
Stand by Generators 
Gym 
3 Lifts 
Cargo Lift 
Sitting Area",3362825576,https://media.zameen.com/thumbnails/205685416-800x600.jpeg
44146174,"Tariq Road, Karachi, Sindh",Flat,"Tariq Road, Karachi, Sindh",2,3,139,For Rent,90000,"Brand New Flat For Rent
2 Bed Dd
big Size Rooms
and Washroom
american Kitchen
with
stand By Generator
car Parking 
gym Kid Play Area
masjid
lobby
waiting Area",3211611268,https://media.zameen.com/thumbnails/206789838-800x600.jpeg
44162851,"DHA Phase 8, DHA Defence, Karachi, Sindh",Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,160000,"Dha Phase 8.500 Yards Brand new Ground Portion Available For Rent 3 Bed Rooms. proper Drawing Room Dining Room Powder Room West Open 2cars Parking. 
Interested Persons Welcome To Visit The Property. 
Please Feel Free To Call Us If You Need Further Details About It.  We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling.",3218273280,https://media.zameen.com/thumbnails/206662754-800x600.jpeg
44169981,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",Flat,"Cantt, Karachi, Sindh",3,3,306,For Rent,80000,"Whatever kind of Flat you are looking for, you are in the right place to find it. This spacious rental property can be the answer to all your space woes. Looking for 2750 Square Feet sized property? We have some of the best options that will suit your requirements. A property with modern features at a price of PKR  is not to be missed. Start a new life in one of the most sought after areas in the city, Askari 5 - Sector J. The city of Karachi offers hundred of housing options for renting and purchasing. 

Know more about the property with the details given below. 
A proper waste management system ensures cleanliness on premises 24/7. 
A separate dining room means you can enjoy your food with peace of mind. 
Using the service elevator in the building ensures your goods reach your floor quickly. 
For big families, the spacious sitting room that comes with this property is perfect. 
The Flat comes with a spacious study room that you can utilize any way you like. 
Your guests will be left in admiration as they see your beautiful drawing room of this Flat. 
With kids play near the Flat you can safely send them for play. 


For booking and details, give us a call today.",3346477602,https://media.zameen.com/thumbnails/211952281-800x600.jpeg
44170062,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,"Cantt, Karachi, Sindh",5,5,375,For Rent,140000,"By considering the fact you're looking for a House, we would say, your search is now over. Book your appointment today to view the best rental units. Your search for properties sized 375 Square Yards is now over! Go through this listing.  is quite reasonable for the kind of property you are looking for. A House in Askari 5 - Sector J is an opportunity that should not be missed, so make the most out of it while it lasts. Properties in Karachi at a price that meets your budget. 

Find out more details about the property with the following. 
The study room in the House is smartly planned to give you the privacy you need to focus on your work and studies. 
Now you don't have to think twice about space before hosting a party due to the spacious lounge area that comes with this House. 
You don't have to worry about waste disposal in your new place. Its already been taken care of. 
A spacious dining room is everything to host lavish dinners and with this one, you can do it too. 
Your kids can play to their heart's content in the play area adjoining the property. 
Seat your guests in this spacious drawing room with ease that comes with this House. 


Want to know more? Contact us.",3346477602,https://media.zameen.com/thumbnails/211952557-800x600.jpeg
44170065,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,"Cantt, Karachi, Sindh",5,5,375,For Rent,140000,"Get yourself a House that suits your needs perfectly. Looking for a home to rent for your family? You have come to the right place! This 375 Square Yards sized property best fits the description you plugged in. Priced at , what more could you ask for? If you think that this property's location in Askari 5 - Sector J is just swell, we'd recommend that you sign up for it quickly. The city of Karachi awaits you to offer you a more facilitated lifestyle. 

Important details of the property are listed below. 
The attached dining area of this House will help maintain your guests' privacy. 
A separate study room makes this property quite feasible for families with school-going children. 
A drawing room like this is a must for you if you like entertaining. 
Relax in the lounge/ sitting room after a long day and spend quality time with your family. 
Your kids can play to their heart's content in the play area adjoining the property. 
The premise is kept clean at all times through an effective waste disposal management service. 


You can always give us a call for queries.",3346477602,https://media.zameen.com/thumbnails/211953247-800x600.jpeg
44170072,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,"Cantt, Karachi, Sindh",5,5,375,For Rent,145000,"If you're looking for a House for your family, we have the best property options to show you. A spacious rental house is awaiting occupants, so be the first one to book a viewing. This 375 Square Yards property is easily the most sought-after one in the locale. At such amazing rate of , such a deal doesn't remain open for long. You will find current market rates quite attractive in Askari 5 - Sector J. The Karachi is perfect for living and you can find the best properties due to a booming real estate sector. 

Following are some details of the property. 
Your kids can play to their heart's content in the play area adjoining the property. 
Eat with friends and family in a warm, cosy dining room that comes with the property. 
This property offers wide range of option where the living comes attached with a spacious drawing room. 
You don't have to worry about waste disposal in your new place. Its already been taken care of. 
A spacious study room can be your answer to setting up a home library and office. 
Your close friends can be seated in the cosy sitting room that comes with this House. 


Interested in buying or renting property? Contact us today for the best options and advice.",3346477602,https://media.zameen.com/thumbnails/211952447-800x600.jpeg
44180969,"Saadi Town, Scheme 33, Karachi, Sindh",Lower Portion,"Scheme 33, Karachi, Sindh",3,4,240,For Rent,40000,"The Lower Portion has an interior that pays attention to the finer details. It's not easy to find a property as good as this to rent. Take it from us, and put this on top of your list. Property for 240 Square Yards properties are becoming popular, so grab an offer while it lasts. The property within PKR is high in demand, so grab the opportunity while you can. The location of the Lower Portion in Saadi Town is such that all the attractions and landmarks of the city are easily accessible from it. Come for the charm, stay for the facilities in Karachi. 

For any kind of property advice, you can get in touch with us.",3343724412,https://media.zameen.com/thumbnails/212294514-800x600.jpeg
44180975,"Saadi Town, Scheme 33, Karachi, Sindh",Lower Portion,"Scheme 33, Karachi, Sindh",3,4,400,For Rent,55000,"By considering the fact you're looking for a Lower Portion, we would say, your search is now over. Whatever your requirements, you'll find a suitable property to rent here. This 400 Square Yards property is easily the most sought-after one in the locale. The asking price is set reasonably at . Saadi Town is perfect to own a home as it is surrounded by all kinds of facilities. Thinking about upgrading your lifestyle? Check out these properties in Karachi. 

Get in touch with us today for more details.",,https://media.zameen.com/thumbnails/212294733-800x600.jpeg
44188469,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",4,4,356,For Rent,250000,"Creek Vista (Note Apartment is Unfurnished)
Real Taste of the Living 
4 Bedrooms with Attached Bathrooms
Extra Ordinary Beautiful View
Corner with 2 Sides Separate Beautiful View 
Higher Floor
Demand 2.5 lac per month
Only for MNCs Company Lease or Foreigner 
Call for a visit and details:-",3009267415,https://media.zameen.com/thumbnails/206438117-800x600.jpeg
44192279,"Clifton - Block 4, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",2,2,133,For Rent,90000,"Clifton Flat Available For Rent . 

Two Bedrooms With Attach Bathrooms Lounge , Drawingroom Branded Kitchen New Bathrooms 2nd Floor Corner Bright & Airy Boundry Wall Project Namely Chapal Beach Luxury Situated At Block IV Clifton . 

Further Defails And Visit Contact Us . 

CAPITAL ENTERPRISES 

Regards, 
Raja Mansoor",3338212253,https://media.zameen.com/thumbnails/206257600-800x600.jpeg
44199152,"DHA Phase 7, DHA Defence, Karachi, Sindh",House,"DHA Defence, Karachi, Sindh",4,4,250,For Rent,300000,"Dha Fully Furnished / Unfurnished Bungalow Available For Rent . 

1+3 Bedrooms With Attach Bathrooms Two Lounges Drawing room Branded Kitchen  Tiles Flooring , Servant Qaurter, Car parking 250 Yrds Located At Khyaban e Rizwan Phase VII Dha . 

( Original Pics Attached )

Further Details And Visit Contact Us . 

CAPITAL ENTERPRISES 

Regardd,
Raja Mansoor",,https://media.zameen.com/thumbnails/206257203-800x600.jpeg
44200001,"Clifton - Block 4, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",3,3,167,For Rent,95000,"Clifton Indus Residency Flat Available For Rent. 

Three Bedeooms With Attach Bathrooms Lounge , Drawingroom Kitchen, Balcony , Tiles Flooring Sea Faciing 4th Floor Lift With Backup Car Parking Located At Clifton Block IV . 

( Original Pics Attached )

Further Details And Visit Contact Us . 

CAPITAL ENTERPRISES 

Regards,
Raja Mansoor",3338212253,https://media.zameen.com/thumbnails/206256783-800x600.jpeg
44200411,"Clifton - Block 4, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",3,3,167,For Rent,160000,"Clifton Fully Furnished Sea Facing Indus Residency Flat Available For Rent. 

Three Bedeooms With Attach Bathrooms Lounge , Drawingroom Kitchen, Balcony , Tiles Flooring Sea Faciing 9th Floor Lift With Backup Car Parking Located At Clifton Block IV . 

( Original Pics Attached )

Further Details And Visit Contact Us . 

CAPITAL ENTERPRISES 

Regards,
Raja Mansoor",3338212253,https://media.zameen.com/thumbnails/206256269-800x600.jpeg
44201147,"DHA Phase 8, DHA Defence, Karachi, Sindh",House,"DHA Defence, Karachi, Sindh",6,6,500,For Rent,400000,"500 Yards Like Brand New House For Rent In Dha Phase 8 This House Consists Of 6 Bed Rooms 2beds Are On Ground Floor And 4bed Rooms Are In First Floor . downstairs Is The Separate Drawing Room ,dining Room,lounge And Kitchen With Mini Kitchen. there Are Four To Five Cars Parks Easily. this House Has The  Italian Tile Or Wooden Flooring On The Floor. two Rooms Are Kept In It For House Servants Like Made Room And Servant Room. so Your Dream Home Is Just A Step Away For You.",3218273280,https://media.zameen.com/thumbnails/206662633-800x600.jpeg
44210444,"DHA Phase 8, DHA Defence, Karachi, Sindh",Upper Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,160000,"prime location
Dha pH 8
500 yards upper portion available for rent
3 bedroom with Wash room 
drawing and dining separate
powder room 
kitchen
grease kitchen
servant room 
tanks common meters separate",9230000000,https://media.zameen.com/thumbnails/206437223-800x600.jpeg
44214621,"Shahra-e-Faisal, Karachi, Sindh",House,"Shahra-e-Faisal, Karachi, Sindh",4,4,240,For Rent,300000,"TOWN HOUSE 
ON COMMERCIAL USE
GROUND FLOOR
1 BED ROOM
DRAWING ROOM
DINING ROOM
LAUNCH
KITCHEN (DIRTY KITCHEN)
1 FLOOR
3 BIG SIZE BED ROOMS
LAUNCH 

MAIN ROAD FACING

PECHS BLOCK 6

CAR PARKING
SERVANT QUARTER
OPEN ROOF

DEMAND 3 LAC

CONTACT
BILAL BAWANY",3211611268,https://media.zameen.com/thumbnails/206790218-800x600.jpeg
44236729,"DHA Phase 8, DHA Defence, Karachi, Sindh",Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,225000,"prime location 
DEFENCE PHASE 8
500 YARD PORTION slightly used 
GROUND FLOOR 
WITH BASEMENT full basement 
JUST LIKE NEW
3 bedrooms
drawing and dining lounge kitchen
grease kitchen servant room 
225 k negotiable",3331744312,https://media.zameen.com/thumbnails/206437590-800x600.jpeg
44237676,"Shadman, North Nazimabad, Karachi, Sindh",Upper Portion,"North Nazimabad, Karachi, Sindh",2,2,200,For Rent,45000,"SHADMAN 14/B

first floor 
2 bed dd 
200 square yards 
no water issue 
no electricity problem 
near to park
rent demand 45000",3312042241,https://media.zameen.com/thumbnails/206715210-800x600.jpeg
44246809,"Badar Commercial Area, DHA Phase 5, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",2,3,122,For Rent,60000,"Fully Furnished Apartment For Rent
2 Bedroom Drawing Dining Lounge with attach bath
3rd floor
For long term",3472296495,https://media.zameen.com/thumbnails/205881224-800x600.jpeg
44247793,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,"Bahria Town Karachi, Karachi, Sindh",2,2,106,For Rent,28000,"The Flat is smartly designed to have spacious bedrooms with large windows that can be opened whenever you need some ventilation. Seeking the best rent deal along with good facilities? Here is a property to consider. The property of 950 Square Feet is an ideal option in Bahria Apartments. The property is priced at  which is great, given its location. If you are looking for a safe neighbourhood, the location of Bahria Apartments is ideal for you. Karachi has good property options available that will fulfil your requirements. 

Following are some details of the property. 
A prayer room is a great addition to the Flat to hold religious gatherings. 
This drawing room lets your family have their privacy while you have formal guests over. 
Your personal space can stay personal with a powder room in the home. 
Having a laundry space in the Flat comes in handy. 
The Flat comes with a steam room that is good for your skin and overall health. 
The mosque near the Flat is quite spacious and well-maintained. 
A separate dining space like the one in this Flat makes it convenient to keep the rest of the house clean from dinner mess. 


Ask us more using the provided contact information.",3004612352,https://media.zameen.com/thumbnails/212842268-800x600.jpeg
44247798,"Bahria Town - Precinct 10-A, Bahria Town Karachi, Karachi, Sindh",House,"Bahria Town Karachi, Karachi, Sindh",3,3,200,For Rent,40000,"This House is ideally located in Bahria Town - Precinct 10-A Karachi. The property offered on rent has covered all the things you are looking for. Don't miss out the chance of acquiring one of these 200 Square Yards sized property. The property is priced at  which is great, given its location. The highly lucrative real estate options in Bahria Town - Precinct 10-A should not be missed. You can find several property options to your liking in Karachi, if you give us a chance to show you. 

Some of the salient features of this property are described here. 
A steam room is beneficial for health and the House comes with one!
Impress your friends and family by hosting a barbeque in the barbeque area adjoining the House. 
Having double glazed windows in the House not only maintains the temperature inside but also provides better protection. 
Differently-abled people will find this House easy to navigate, as it is developed to incorporate their needs. 
A central lounge area that comes with this property makes it easy for everyone to hang in one place and enjoy family time. 
Laundry room in the House comes handy when there is a lot of washing to do. 
A furnished House is great if you're looking to move in quickly. 


Find out more about the property and others by giving us a call today.",3004612352,https://media.zameen.com/thumbnails/212842481-800x600.jpeg
44250322,"Khalid Bin Walid Road, Karachi, Sindh",Flat,"Khalid Bin Walid Road, Karachi, Sindh",3,3,200,For Rent,110000,"Beautiful Flat For Rent
3 Bed Dd/l. (can Be Used As 4 Bed Lounge)
1800 Sq. ft Net Covered Area
east And West Both Open
fully Renovated  (lights, Fans, Fall Ceilings, Kitchen Accessories And Other Extra Work Done)
modern Styled American Kitchen With Washing Area*
a Great High-rise Project
location : Main Khalid Bin Waleed Road
demand : Just 110,000 Only
all Modern Aminities Available

features:
 Speedy Lifts
2 X Reserved Car Parking*
stand By Generator
community Hall
event Big Hall With Built-in Air Conditioners
masjid 
modern Deisgner Lobby And Secured Reception
intercom Sysytem

for More Details, Feel Free To Contact",3211611268,https://media.zameen.com/thumbnails/206791666-800x600.jpeg
44252085,"Khalid Bin Walid Road, Karachi, Sindh",Flat,"Khalid Bin Walid Road, Karachi, Sindh",3,4,200,For Rent,125000,"3 Bedroom Drawing Dining
2 Balconies
2 RESERVED CAR PARKING
East Open
Store Room
1800 sqft
furnished apartment. 
lift/parking/Generator
only for MEMON or Small family 
for more info contact",3212744552,https://media.zameen.com/thumbnails/205045810-800x600.jpeg
44281324,"Falcon Complex New Malir, Malir, Karachi, Sindh",House,"Malir, Karachi, Sindh",6,7,500,For Rent,240000,"Park Facing 500 Sq. Yds Brand New Fully Renovated Park Facing Bungalow Available For Rent

Looking for an affordable House in Falcon Complex New Malir? We might have the right units lined up for you. The neighbourhood is the first choice among tenants eyeing affordable rental properties, so you find this property the same. This 500 Square Yards House matches your requirements. House prices can fluctuate but if you're ready then PKR is quite reasonable. Take a look at the best property from Falcon Complex New Malir in this page. Cities can become homes, and you will know it to be true in Karachi.",3111834465,https://media.zameen.com/thumbnails/206545949-800x600.jpeg
44289458,"Saima Elite Villas, Malir, Karachi, Sindh",House,"Malir, Karachi, Sindh",2,2,120,For Rent,40000,"2 Bed Drawing Lounge
120 Yard Single Story
House On Rent
For Visit & Details
Contact at the Provided numbers",3122990521,https://media.zameen.com/thumbnails/207034817-800x600.jpeg
44302054,"Nazimabad 3, Nazimabad, Karachi, Sindh",Flat,"Nazimabad, Karachi, Sindh",3,3,108,For Rent,28000,"3 bed drawing dining portion  for rent nazimabad 3 

3 bed with attached bath 
Lounge
American kitchen
24 hours water
No loadshedding
Vip construction",3343079505,https://media.zameen.com/thumbnails/205730821-800x600.jpeg
44305129,"Tariq Road, Karachi, Sindh",Flat,"Tariq Road, Karachi, Sindh",4,5,250,For Rent,160000,"4 Bedroom
flat Available
for Rent
3 Lifts
stand By Generator
2 Car Parking
masjid 
grand Lobby Waiting Area
gym
kid Play Area
 160,000  Demand
for Further Details
contact
bilal Bawany",3211611268,https://media.zameen.com/thumbnails/206789710-800x600.jpeg
44312155,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",Lower Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,120,For Rent,36000,"2 bed DD well maintained urgent for rent near crown bakry
Looking for a Lower Portion that fits your budget? We got you covered! This is one of the rental options available right here. 1080 Square Feet property is on a very lucrative offer right now, so don't miss it! With all the facilities you are looking for in a property, a price of PKR Rs. 36,000 is a great deal. You will find current market rates quite attractive in Gulshan-e-Iqbal - Block 6. Live your dream life in Karachi. 

You can find out more about the property below. 
The complex comes equipped with central air conditioning for ensuring a comfortable experience. 
The society has an effective waste disposal service that ensures cleanliness. 
Stay cozy in your home due to the central heating system. 
A prayer room in the Lower Portion provides a peaceful setting to offer prayers. 


For further information, you can fill out the contact form.",3024141698,https://media.zameen.com/thumbnails/206424753-800x600.jpeg
44322988,"Clifton - Block 2, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",3,3,200,For Rent,65000,"Flat For Rent 
03 Bed Drawing Dining
3rd Floor
Fully Renovated
Sea Facing
24 Hours Sweet Water. 
24 Hours security. 
Well Maintain. 
Tiled Flooring
American Kitchen. 
Ideal Location. 
24 Hours security
Reasonable Demand
Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal. . . 
Contact: Call & Whatsapp:
Muhammad H***an",3012643798,https://media.zameen.com/thumbnails/207191618-800x600.jpeg
44323605,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi, Sindh",Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,172,For Rent,60000,"Saima Presidency Flat For sale
Prime location
All facilities are also available
Peaceful environment
Best for living The Flat is a truly well-thought out property, best for those with a fine taste in architectures. Luxuriously designed Flat with latest features is available to rent. Your search for property sized 1550 Square Feet is now over! Go through our impressive listing now. With a price of PKR  this is the best property you can find in Gulistan-e-Jauhar - Block 7. Settling down in Gulistan-e-Jauhar - Block 7 can be the beginning of a comfortable and luxurious life. Get your chunk of urban living with property in Karachi. 

To make a booking in upcoming projects, get in touch with us today.",3301036323,https://media.zameen.com/thumbnails/213272181-800x600.jpeg
44323607,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi, Sindh",Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,178,For Rent,60000,"Saima Presidency Duplex For Rent 
Prime location
All facilities are also available
Peaceful environment

Best for living Look no further as we have the best Flat that fits well within your budgeted requirements. This is a decent place to rent. It has all the facilities that are definitely worth your shot. This 1600 Square Feet-sized property will definitely suit your requirements. A price of PKR  for this property is a great deal, not to be missed. Gulistan-e-Jauhar - Block 7 is known for its easy access to amenities and public transport, so you should definitely check it out. This is the newest, most attractive neighbourhood of the Karachi and you wouldn't want to miss an opportunity to live here. 

Make any concerns known to us through provided contacts.",3301036323,https://media.zameen.com/thumbnails/213272179-800x600.jpeg
44323611,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi, Sindh",Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,172,For Rent,60000,"Saima Presidency Flat For sale
Prime location
All facilities are also available
Peaceful environment
Best for living A large Flat at a prime location could be what you're looking for. The rental property is the best option, given its central location. This 1550 Square Feet Flat on offer will meet your family needs. The price is set fairly at . This property in Gulistan-e-Jauhar - Block 7 brings you what you need. The Karachi has a high demand for residential properties, given it is rapidly expanding. You can find a quite reasonable property here. 

We're just a ring away. So, grab the phone and give us a call.",3301036323,https://media.zameen.com/thumbnails/213272246-800x600.jpeg
44323614,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi, Sindh",Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,178,For Rent,60000,"Saima Presidency Duplex For Rent 
Prime location
All facilities are also available
Peaceful environment

Best for living The Flat is well designed to accommodate the family and their guests. Bookings are open for the rental property and one such as this can be hard to come by! If you're looking for 1600 Square Feet property, we have what you need! You can find your dream house in this locality at a price of PKR . In Gulistan-e-Jauhar - Block 7, you can find your dream property like this at the click of a button. The prosperous city of Karachi awaits you with opportunities. 

Want to know more? Contact us now.",3301036323,https://media.zameen.com/thumbnails/213272309-800x600.jpeg
44323622,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi, Sindh",Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,178,For Rent,60000,"Saima Presidency Duplex For Rent 
Prime location
All facilities are also available
Peaceful environment

Best for living All your dreams can come true with this Flat, which is well-constructed and centrally-located. This highly-attractive property is available for rent. Don't miss out the chance of acquiring one of these 1600 Square Feet sized property. With all the facilities you are looking for in a property, a price of PKR  is a great deal. This listing from Gulistan-e-Jauhar - Block 7 is perfect for you and your family. Endless property options are available in Karachi for you to choose one that suits your family. 

Your property search can end right here, so give us a call and we'll do the rest.",3301036323,https://media.zameen.com/thumbnails/213272394-800x600.jpeg
44323628,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar, Karachi, Sindh",Flat,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,172,For Rent,60000,"Saima Presidency Flat For sale
Prime location
All facilities are also available
Peaceful environment
Best for living A solid Flat is a dream come true for many, and yours can come true today if you take the lead on this offer. This rental option is lucrative enough to attract many takers, so take your chance now or miss out! 1550 Square Feet property in posh location is a dream come true for many and with the choices available it can be for you too. You are not going to find a better property option anywhere in the city for as low as  . In Gulistan-e-Jauhar - Block 7, you will not be wanting for any civic facility. Karachi has many options for all kinds of properties, so stop waiting and start looking. 

Book your unit by contacting on our given numbers.",3301036323,https://media.zameen.com/thumbnails/213272850-800x600.jpeg
44325282,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",3,4,422,For Rent,300000,"Flat For Rent In Creek Vista 
3 Bed D D
all Facilities Available
furnished 300K
if You Want Environment Which Is Absolutely Secured And Peaceful Then It Is The Right Time And Right Place Grab This Au****ious Opportunity To Execute Your Dream In To Reality. 

genuine Customers Interested In Checking This Property Out Should Get In Touch Immediately So As Not To Miss This Opportunity. 

we Want Only Serious C***nts To Contact Us.",3012643798,https://media.zameen.com/thumbnails/207190966-800x600.jpeg
44328876,"DHA Phase 5, DHA Defence, Karachi, Sindh",Flat,"DHA Defence, Karachi, Sindh",2,2,111,For Rent,95000,"No One Covers DHA /CLIFTON Like We Do 


Dha Fully Furnished Flat Availabke For Rent. 

Brand New Furniture Two Bedeooms Wirh Attach Bathrooms , Lounge , Drawingroom , Kitchen Balcony 1st Floor Bright n Airy . 
Located At Khayaban e Mujahid ( Khadda Market )

Further Details And Visit Contact Us . 

Capital Enterprises 

Regards,",3338212253,https://media.zameen.com/thumbnails/212289374-800x600.jpeg
44331713,"DHA Phase 6, DHA Defence, Karachi, Sindh",House,"DHA Defence, Karachi, Sindh",4,4,300,For Rent,230000,"300 yards
West open 
4 bedrooms
Drawing / dining
Huge TV Lounge
Bigger Basement
Servant quarter
3 car parking",3222765087,https://media.zameen.com/thumbnails/205881729-800x600.jpeg
